comment,date,forward,like,source,text
评论 10288, 2015-12-22 19:40,转发 12201, 202975,微博 weibo.com,"
                                    12.22寒冷公益日，穿着T恤做一个寒冷体验，壹基金#100个寒冷体验官#正在招募~让我们一起用行动换取孩子们一冬的温暖吧！ O[品牌捐]壹基金温暖包 "
评论 11106, 2015-12-22 10:26,转发 18597, 88782,天生会转 OPPO N3,"
                                    him奈噻呦wuli夏天擦浪黑嘿 "
评论 5983, 2015-12-22 08:37,转发 18012, 112365,天生会转 OPPO N3,"
                                    美丽的幂幂支持美丽的秘密大家要去看哦//@宋茜-fx--victoria:蒜英俊～～记得去看你们家姜美丽～#姜美丽我是蒜英俊# "
评论 20149, 2015-12-19 19:45,转发 28181, 292665,天生会转 OPPO N3,"
#2015ELLE风尚大典# 《ELLE》70周年生日快乐，成长路上感谢有你陪伴@ELLE @晓雪 "
评论 10334, 2015-12-17 18:50,转发 11227, 66867,天生会转 OPPO N3,"
#0129功夫熊猫3#嗨，我是美美 "
评论 12923, 2015-12-15 20:45,转发 17694, 223293,天生会转 OPPO N3,"
                                    来口伊利，唤醒原力！然后就可以去找圆滚滚的BB-8啦#星球大战牛奶# O网页链接 "
评论 12768, 2015-12-14 11:27,转发 77389, 127247,天生会转 OPPO N3,"
#最美表演#囚禁桎梏VS挣扎冲破，谁攻谁受？憋说话，吻我 "
评论 12247, 2015-12-12 07:43,转发 22781, 148140,天生会转 OPPO N3,"
                                    哈哈哈哈哈哈哈神经病啊螺旋丸什么鬼哈哈哈哈哈哈哈哈哈哈哈哈哈哈，坐等寻龙诀哈哈哈哈哈哈哈，对这是一条广告贴 "
评论 10181, 2015-12-11 10:10,转发 11513, 196110,天生会转 OPPO N3,"
                                    欢迎文武双全？的大侠？阿宝 "
评论 6510, 2015-12-10 11:24,转发 10343, 69610,天生会转 OPPO N3,"
                                    一直觉得星战里最萌的机器人是R2-D2，看了预告片发现BB-8更萌，果然圆滚滚在萌的世界里就是王道啊#星球大战：原力觉醒# "
评论 21619, 2015-12-8 13:03,转发 22542, 322834,天生会转 OPPO N3,"
                                    天气好的人在拉仇恨 "
评论 7611, 2015-12-7 23:40,转发 10677, 128221,天生会转 OPPO N3,"
                                    一起拼快车去看《怦然星动》，万一拼到了那个让你心动的人呢～ O滴滴派发礼包，速来领取！ "
评论 5227, 2015-12-7 10:12,转发 14891, 74186,天生会转 OPPO N3,"
                                    那一年，那些事。这是一些有情怀的人，一起拍摄的一部有情怀的电影，期待早点上映。                        "
评论 22742, 2015-12-6 00:08,转发 15090, 594708,天生会转 OPPO N3,"
                                    生日快乐，擦浪嘿@唐嫣 其他肉麻话我们私聊哈哈哈哈哈哈哈 "
评论 15866, 2015-12-4 12:40,转发 21622, 367059,天生会转 OPPO N3,"
#最美表演#假如你在平行世界遇到另一个自己…                        "
评论 6708, 2015-12-3 16:33,转发 10402, 48073,天生会转 OPPO N3,"
                                    有福利 "
评论 18030, 2015-12-3 09:02,转发 20736, 215511,美图秀秀Android版,"
#怦然星动不止心动# 《怦然星动》今天上映，据说看完会特别想谈恋爱，约么？ [呵呵]                        "
评论 5691, 2015-11-30 11:13,转发 15516, 89269,天生会转 OPPO N3,"
#傲娇与偏见#这剧组是中二病集中营，有图有真相，鉴定盖章 "
评论 223691, 2015-11-28 18:02,转发 54498, 521976,天生会转 OPPO N3,"
                                    选择尴尬症犯了，明天首映礼涂哪个颜色更好？听你们的～～ 2上海 "
评论 10841, 2015-11-28 17:51,转发 10374, 120613,天生会转 OPPO N3,"
                                    你们会看不？//@快乐大本营:是今晚20:10哦 //@李维嘉:今晚21:10，我们拼啦！                        "
评论 20054, 2015-11-27 09:25,转发 79939, 77226,天生会转 OPPO N3,"
#怦然星动不止心动#经纪人不好当，我会随便说吗？#怦然星动定档1203# "
评论 11467, 2015-11-26 11:35,转发 20619, 45818,天生会转 OPPO N3,"
                                    当天的拍摄地点阳光灿烂，绿树成荫，很美，希望你们喜欢。谢谢@Vogue服饰与美容 团队大家的专业，谢谢@angelica张宇 姐，么么哒 "
评论 10340, 2015-11-24 18:58,转发 14604, 106502,天生会转 OPPO N3,"
#怦然星动不止心动#主题曲来了，联络么？#怦然星动定档1203# "
评论 8744, 2015-11-24 10:11,转发 11051, 49918,天生会转 OPPO N3,"
                                    超前看电影，不见不散 "
评论 8126, 2015-11-23 09:20,转发 14199, 86072,天生会转 OPPO N3,"
#怦然星动不止心动#危机来了，你们猜田心会怎么做？#怦然星动定档1203# "
评论 8797, 2015-11-20 21:13,转发 13817, 96256,天生会转 OPPO N3,"
 "
评论 5730, 2015-11-20 15:32,转发 10724, 107756,天生会转 OPPO N3,"
                                    看到蓝天、描绘白云、感慨春夏秋冬、体会四季交替以及大好河山，这些你我甚至都不当成理想的小事一桩，对于失去光明的他们却是触不可及的愿望。只有体验过失去光明，你才能些许体会他们前行道路上的种种障碍，让我们成为能帮助他们越过障碍的“眼睛”，帮助他们更好的与世界沟通。@搜狗输入法 "
评论 8784, 2015-11-19 19:16,转发 12872, 153035,天生会转 OPPO N3,"
                                    昨天影像展玩的很开心，见到很多好朋友，谢谢@angelica张宇 姐和设计师@MichaelKors 的邀请@Vogue服饰与美容 "
评论 4528, 2015-11-19 13:44,转发 10698, 38919,天生会转 OPPO N3,"
#片羽时光#感谢笔笔这次仗义出手，但我不会告诉你们其实我也唱了#怦然星动定档1203#//@周笔畅:#片羽时光# #怦然星动定档1203# 有一天你我再遇見。彼此微笑寒暄。卻不提過往。 "
评论 6170, 2015-11-19 11:03,转发 10175, 184629,天生会转 OPPO N3,"
                                    奔跑在第一线的工作人员是最辛苦的，一切都是为了孩子们，如果你也愿意帮助他们，就加入我们吧 "
评论 6916, 2015-11-18 23:02,转发 10050, 144427,天生会转 OPPO N3,"
                                    很美啊 "
评论 51542, 2015-11-18 16:43,转发 40587, 947822,天生会转 OPPO N3,"
                                    我们很好，谢谢关心，别闹啦，@刘恺威 "
评论 24730, 2015-11-16 23:26,转发 19810, 390491,天生会转 OPPO N3,"
                                    so 晚安 "
评论 10257, 2015-11-16 18:00,转发 12431, 81838,天生会转 OPPO N3,"
                                    所谓年轻，就该颠覆自我，勇往直前，无所畏惧。11月19~22日，来北京798看@Vogue服饰与美容 与@MichaelKors 共同举办的#YoungChina#互动影像展，和我一起感受摩登新力量吧！L杨幂摩登新力量－Vogue携MichaelKors带来YoungChina互动影像展 "
评论 10622, 2015-11-14 12:54,转发 11116, 122275,天生会转 OPPO N3,"
                                    希望大家都保护好自己，也希望伤亡不要再增加 "
评论 11233, 2015-11-13 13:49,转发 10055, 203102,天生会转 OPPO N3,"
                                    今天就去看吧《陪安东尼渡过漫长岁月》支持百合@白百何 ，还有我最爱的姐姐@i周迅  "
评论 16122, 2015-11-12 18:09,转发 16680, 403636,天生会转 OPPO N3,"
#爱心图书馆#第3年，一起点亮知识之光！O网页链接 #用心，在一起#你们秒懂吗？@新浪厦门 @微公益 "
评论 15432, 2015-11-12 11:03,转发 13212, 258478,天生会转 OPPO N3,"
 "
评论 10297, 2015-11-10 22:25,转发 12696, 73641,天生会转 OPPO N3,"
#怦然星动不止心动# 他们说这mv专虐单身？ #怦然星动定档1203# "
评论 10458, 2015-11-9 20:07,转发 10962, 95583,天生会转 OPPO N3,"
#全民见证，我是证人# 一路走来不容易，感谢大家 "
评论 13452, 2015-11-8 11:02,转发 12345, 223098,天生会转 OPPO N3,"
#证人长这样#《我是证人》遇车祸时长这样～～ "
评论 25893, 2015-11-6 13:12,转发 137870, 143568,天生会转 OPPO N3,"
#初雪配证人# 我想再去看一遍《我是证人》，他们说今天雪太大，不好走。 图样图森破，对我而言，下雪看电影和晴天看电影有区别么？ "
评论 10098, 2015-11-6 10:00,转发 10823, 71434,天生会转 OPPO N3,"
#天猫双11#他们说需要给你们一条密令才能发红包。我想了一下，就用现在对我来说很重要的事来做密令吧。双11全球狂欢节，我的百万密令是：看我是证人迎怦然星动   你们都懂了么 "
评论 5689, 2015-11-6 00:07,转发 9895, 94177,天生会转 OPPO N3,"
                                    干杯干杯，凡先生生日快乐 "
评论 14901, 2015-11-5 22:05,转发 13368, 206077,天生会转 OPPO N3,"
                                    路演一路跑下来收集的so我决定要重新审视我自己                        "
